#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 03 12 11 10 240 10.0 13.0   4.0    MM   7.6 224 1008.5  10.2  11.0    MM   MM   MM    MM
2024 03 12 11 00 240 10.0 13.0    MM    MM    MM  MM 1008.4  10.2  11.0    MM   MM +1.6    MM
2024 03 12 10 50 240 11.0 14.0   4.3    10   7.9 229 1008.3  10.1  11.0    MM   MM   MM    MM
2024 03 12 10 40 230 10.0 14.0    MM    MM    MM  MM 1008.2  10.0  11.0    MM   MM   MM    MM
2024 03 12 10 30 230 11.0 14.0    MM    MM    MM  MM 1008.1   9.7  11.0    MM   MM   MM    MM
2024 03 12 10 20 230 10.0 13.0   4.3    10   7.8 220 1008.0   9.4  11.0    MM   MM   MM    MM
2024 03 12 10 10 240 11.0 15.0    MM    MM    MM  MM 1008.0   9.2  11.0    MM   MM   MM    MM
2024 03 12 10 00 240 12.0 15.0    MM    MM    MM  MM 1007.8   9.2  11.0    MM   MM +1.3    MM
2024 03 12 09 50 220 13.0 20.0   4.3    10   7.8 223 1007.9   9.7  11.0    MM   MM   MM    MM
2024 03 12 09 40 210 10.0 13.0    MM    MM    MM  MM 1007.5  10.5  11.0    MM   MM   MM    MM
2024 03 12 09 30 210 11.0 14.0    MM    MM    MM  MM 1007.4  10.5  11.0    MM   MM   MM    MM
2024 03 12 09 20 220 11.0 15.0   4.4    10   7.9 207 1007.2  10.5  11.0    MM   MM   MM    MM
2024 03 12 09 10 220 11.0 14.0   4.4    MM   7.9 207 1007.0  10.4  11.0    MM   MM   MM    MM
2024 03 12 09 00 220 11.0 15.0    MM    MM    MM  MM 1007.0  10.3  11.0    MM   MM +0.6    MM
2024 03 12 08 50 210 11.0 14.0   4.1    10   7.8 226 1006.9  10.2  11.0    MM   MM   MM    MM
2024 03 12 08 40 210 11.0 15.0   4.1    MM   7.8 226 1006.9  10.2  11.0    MM   MM   MM    MM
2024 03 12 08 30 210  9.0 14.0    MM    MM    MM  MM 1006.9  10.1  11.0    MM   MM   MM    MM
2024 03 12 08 20 220  9.0 12.0   5.1    10   8.4 215 1006.9   9.6  11.0    MM   MM   MM    MM
2024 03 12 08 10 220 13.0 17.0   5.1    MM   8.4 215 1006.9   9.8  11.0    MM   MM   MM    MM
2024 03 12 08 00 210 11.0 16.0    MM    MM    MM  MM 1006.8  11.0  11.0    MM   MM +1.1    MM
2024 03 12 07 50 210 10.0 14.0   4.3    10   7.7 231 1006.6  11.1  11.0    MM   MM   MM    MM
2024 03 12 07 40 210 11.0 15.0    MM    MM    MM  MM 1006.6  11.0  11.0    MM   MM   MM    MM
2024 03 12 07 30 210 11.0 14.0    MM    MM    MM  MM 1006.6  11.0  11.0    MM   MM   MM    MM
2024 03 12 07 20 210 10.0 13.0   4.5    11   8.1 216 1006.5  11.0  11.0    MM   MM   MM    MM
2024 03 12 07 10 210  8.0 11.0    MM    MM    MM  MM 1006.5  10.7  11.0    MM   MM   MM    MM
2024 03 12 07 00 220  9.0 12.0    MM    MM    MM  MM 1006.5  10.6  11.0    MM   MM +1.3    MM
2024 03 12 06 50 220  9.0 13.0   5.0    10   8.5 231 1006.4  10.6  11.0    MM   MM   MM    MM
2024 03 12 06 40 220  9.0 12.0    MM    MM    MM  MM 1006.4  10.5  11.0    MM   MM   MM    MM
2024 03 12 06 30 210 11.0 14.0    MM    MM    MM  MM 1006.4  10.5  11.0    MM   MM   MM    MM
2024 03 12 06 20 210 10.0 13.0   4.5    11   8.1 218 1006.4  10.4  11.0    MM   MM   MM    MM
2024 03 12 06 10 210 11.0 15.0    MM    MM    MM  MM 1006.3   9.7  11.0    MM   MM   MM    MM
2024 03 12 06 00 220 11.0 16.0    MM    MM    MM  MM 1006.4  10.6  11.0    MM   MM +1.7    MM
2024 03 12 05 50 200 11.0 14.0   4.7    11   8.3 217 1006.1  11.1  11.0    MM   MM   MM    MM
2024 03 12 05 40 200 10.0 13.0    MM    MM    MM  MM 1006.0  11.1  11.0    MM   MM   MM    MM
2024 03 12 05 30 210  9.0 13.0    MM    MM    MM  MM 1006.1  11.1  11.0    MM   MM   MM    MM
2024 03 12 05 20 210  9.0 12.0   5.2    11   8.8 214 1006.0  11.1  11.0    MM   MM   MM    MM
2024 03 12 05 10 210  9.0 12.0   5.2    MM   8.8 214 1005.9  10.9  11.0    MM   MM   MM    MM
2024 03 12 05 00 200 10.0 15.0    MM    MM    MM  MM 1005.7  11.0  11.0    MM   MM +1.9    MM
2024 03 12 04 50 200  9.0 14.0   5.3    10   8.5 213 1005.6  11.0  11.0    MM   MM   MM    MM
2024 03 12 04 40 200  9.0 12.0    MM    MM    MM  MM 1005.4  11.1  11.0    MM   MM   MM    MM
2024 03 12 04 30 200 10.0 13.0    MM    MM    MM  MM 1005.4  11.1  11.0    MM   MM   MM    MM
2024 03 12 04 20 200  9.0 13.0   5.3    11   8.7 215 1005.3  11.2  11.0    MM   MM   MM    MM
2024 03 12 04 10 200  9.0 12.0    MM    MM    MM  MM 1005.3  11.2  11.0    MM   MM   MM    MM
2024 03 12 04 00 200  9.0 12.0    MM    MM    MM  MM 1005.2  11.2  11.0    MM   MM +2.7    MM
2024 03 12 03 50 200  9.0 12.0   5.3    11   8.3 208 1005.1  11.2  11.0    MM   MM   MM    MM
2024 03 12 03 40 210  9.0 12.0    MM    MM    MM  MM 1004.9  11.1  11.1    MM   MM   MM    MM
2024 03 12 03 30 200  9.0 12.0    MM    MM    MM  MM 1004.9  11.1  11.1    MM   MM   MM    MM
2024 03 12 03 20 210  9.0 12.0   5.5    11   8.2 205 1004.8  11.2  11.1    MM   MM   MM    MM
2024 03 12 03 10 210 10.0 15.0    MM    MM    MM  MM 1004.7  11.2  11.1    MM   MM   MM    MM
2024 03 12 03 00 210 11.0 14.0    MM    MM    MM  MM 1004.7  11.2  11.1    MM   MM +2.5    MM
